State,Obama,McCain,Start,End,Pollster
AZ,44,48,Oct 27,Oct 28,Mason-Dixon
AZ,46,53,Oct 23,Oct 28,Opinion Research
AZ,41,49,Oct 18,Oct 27,Northern Arizona U.
AZ,44,46,Oct 23,Oct 26,Arizona State U.
AZ,46,51,Oct 26,Oct 26,Rasmussen
AZ,42,44,Oct 16,Oct 19,Zimmerman
AZ,38,59,Sep 29,Sep 29,Rasmussen
AZ,38,45,Sep 25,Sep 28,Arizona State U.
AZ,39,56,Sep 11,Sep 14,ARG
AZ,30,40,Aug 14,Aug 16,Arizona State U.
AZ,41,47,Aug 13,Aug 15,Mason-Dixon
AZ,36,52,Jul 30,Jul 30,Rasmussen
AZ,40,49,Jun 25,Jun 25,Rasmussen
AZ,28,38,Jun 20,Jun 21,Arizona State U.
AZ,39,50,May 12,May 20,Rocky Mtn Poll
AZ,38,47,Apr 24,Apr 27,Arizona State U.
AZ,37,57,Apr 15,Apr 15,Rasmussen
AZ,33,55,Mar 30,Apr 08,Northern Arizona U.
AZ,39,51,Feb 26,Feb 28,SurveyUSA
AZ,38,49,Feb 21,Feb 24,Arizona State U.
AR,44,51,Oct 28,Oct 31,ARG
AR,44,54,Oct 27,Oct 27,Rasmussen
AR,36,51,Oct 01,Oct 21,U. of Arkansas
AR,41,53,Sep 20,Sep 22,ARG
AR,42,51,Sep 22,Sep 22,Rasmussen
AR,37,47,Jul 14,Jul 14,Rasmussen
AR,41,45,Jun 16,Jun 16,Rasmussen
AR,39,48,Jun 12,Jun 12,Rasmussen
AR,33,57,May 12,May 12,Rasmussen
AR,30,59,Mar 18,Mar 18,Rasmussen
AR,27,43,Mar 06,Mar 11,Opinion Res.
AR,33,53,Feb 26,Feb 28,SurveyUSA
CA,60,36,Oct 29,Oct 31,SurveyUSA
CA,55,33,Oct 18,Oct 28,Field Poll
CA,61,34,Oct 25,Oct 25,Rasmussen
CA,56,33,Oct 12,Oct 19,Public Policy Inst. of Calif.
CA,59,35,Oct 15,Oct 16,SurveyUSA
CA,56,40,Oct 09,Oct 09,Rasmussen
CA,55,39,Oct 04,Oct 05,SurveyUSA
CA,53,43,Sep 23,Sep 24,SurveyUSA
CA,56,39,Sep 22,Sep 22,Rasmussen
CA,53,39,Sep 18,Sep 20,ARG
CA,50,40,Sep 09,Sep 16,Public Policy Inst. of Calif.
CA,52,36,Sep 05,Sep 14,Field Poll
CA,51,37,Aug 20,Aug 20,Rasmussen
CA,48,39,Aug 12,Aug 19,Pub. Policy Inst. of Calif.
CA,50,38,Jul 24,Jul 24,Rasmussen
CA,50,35,Jul 08,Jul 22,Pub. Policy Inst. of Calif.
CA,54,30,Jul 08,Jul 14,Field Poll
CA,58,30,Jun 23,Jun 23,Rasmussen
CA,53,41,Jun 17,Jun 19,SurveyUSA
CA,52,35,May 16,May 27,Field Poll
CA,47,40,May 20,May 21,LA Times
CA,52,38,May 20,May 20,Rasmussen
CA,49,41,May 16,May 18,SurveyUSA
CA,50,43,Apr 16,Apr 16,Rasmussen
CA,50,43,Apr 11,Apr 13,SurveyUSA
CA,49,40,Mar 11,Mar 18,Public Policy Inst. of Calif.
CA,54,40,Mar 14,Mar 16,SurveyUSA
CA,53,38,Mar 12,Mar 12,Rasmussen
CA,51,40,Feb 26,Feb 28,SurveyUSA
CA,61,34,Feb 15,Feb 17,SurveyUSA
CO,52,45,Oct 28,Oct 30,ARG
CO,49,44,Oct 28,Oct 29,Mason-Dixon
CO,51,45,Oct 27,Oct 28,Marist Coll.
CO,53,45,Oct 23,Oct 28,Opinion Research
CO,48,44,Oct 23,Oct 27,Financial Dynamics
CO,50,41,Oct 22,Oct 26,GfK Roper
CO,50,46,Oct 26,Oct 26,Rasmussen
CO,53,45,Oct 26,Oct 26,Insider Advantage
CO,52,40,Oct 21,Oct 23,Public Opinion Strat.
CO,51,46,Oct 20,Oct 20,Insider Advantage
CO,51,46,Oct 19,Oct 19,Rasmussen
CO,52,45,Oct 16,Oct 16,Rasmussen
CO,51,47,Oct 11,Oct 14,Opinion Research
CO,47,43,Oct 10,Oct 13,Suffolk U.
CO,52,43,Oct 08,Oct 12,Quinnipiac U.
CO,51,45,Oct 06,Oct 06,Insider Advantage
CO,51,45,Oct 05,Oct 05,Rasmussen
CO,44,44,Sep 29,Oct 01,Mason-Dixon
CO,49,48,Sep 28,Sep 28,Rasmussen
CO,45,48,Sep 23,Sep 25,ARG
CO,44,43,Sep 19,Sep 23,Ciruli Assoc.
CO,50,41,Sep 23,Sep 23,Insider Advantage
CO,50,47,Sep 23,Sep 23,Rasmussen
CO,51,47,Sep 21,Sep 23,Opinion Research
CO,49,45,Sep 14,Sep 21,Quinnipiac U.
CO,51,41,Sep 17,Sep 17,Insider Advantage
CO,45,44,Sep 11,Sep 15,Financial Dynamics
CO,46,48,Sep 14,Sep 14,Rasmussen
CO,44,46,Sep 10,Sep 13,ARG
CO,49,46,Sep 09,Sep 10,Insider Advantage
CO,49,46,Sep 07,Sep 07,Rasmussen
CO,46,47,Aug 24,Aug 26,Opinion Research
CO,44,39,Aug 21,Aug 24,Suffolk U.
CO,46,47,Aug 15,Aug 21,Quinnipiac U.
CO,46,43,Aug 13,Aug 15,Mason-Dixon
CO,41,44,Aug 11,Aug 13,Rocky Mtn Poll
CO,45,47,Aug 13,Aug 13,Rasmussen
CO,44,46,Jul 14,Jul 22,Quinnipiac U.
CO,49,42,Jul 21,Jul 21,Rasmussen
CO,49,44,Jun 17,Jun 24,Quinnipiac U.
CO,43,41,Jun 17,Jun 17,Rasmussen
CO,48,42,May 19,May 19,Rasmussen
CO,46,43,Apr 16,Apr 16,Rasmussen
CO,46,46,Mar 17,Mar 17,Rasmussen
CO,50,41,Feb 26,Feb 28,SurveyUSA
CT,56,31,Oct 18,Oct 22,U. of Connecticut
CT,56,39,Oct 14,Oct 14,Rasmussen
CT,54,38,Sep 24,Sep 25,SurveyUSA
CT,49,35,Sep 19,Sep 23,Pulsar Research
CT,54,39,Sep 17,Sep 19,ARG
CT,53,41,Sep 16,Sep 16,Rasmussen
CT,51,36,Jul 31,Jul 31,Rasmussen
CT,52,35,Jun 30,Jun 30,Rasmussen
CT,56,35,Jun 26,Jun 29,Quinnipiac U.
CT,47,44,May 29,May 29,Rasmussen
CT,52,35,Mar 19,Mar 24,Quinnipiac U.
CT,50,38,Mar 11,Mar 11,Rasmussen
CT,55,34,Feb 26,Feb 28,SurveyUSA
DE,63,33,Oct 27,Oct 28,SurveyUSA
DE,56,41,Oct 10,Oct 10,Rasmussen
DE,56,38,Oct 06,Oct 08,West Chester U.
DE,57,37,Sep 22,Sep 23,SurveyUSA
DE,56,36,Sep 17,Sep 21,Fairleigh Dickinson U.
DE,51,40,Sep 13,Sep 15,ARG
DE,55,43,Sep 13,Sep 13,Rasmussen
DE,50,41,Feb 26,Feb 28,SurveyUSA
DC,82,13,Sep 11,Sep 13,ARG
FL,48,46,Oct 30,Nov 02,Zogby
FL,50,46,Oct 29,Oct 31,ARG
FL,47,45,Oct 29,Oct 30,Mason-Dixon
FL,47,47,Oct 29,Oct 30,Datamar
FL,51,47,Oct 23,Oct 28,Opinion Research
FL,45,44,Oct 23,Oct 27,Financial Dynamics
FL,50,43,Oct 25,Oct 27,LA Times
FL,45,43,Oct 22,Oct 26,GfK Roper
FL,47,45,Oct 22,Oct 26,Quinnipiac U.
FL,47,47,Oct 23,Oct 26,Zogby
FL,49,44,Oct 23,Oct 26,Suffolk U.
FL,49,44,Oct 25,Oct 26,Datamar
FL,51,47,Oct 26,Oct 26,Rasmussen
FL,48,47,Oct 22,Oct 22,Insider Advantage
FL,49,42,Oct 20,Oct 22,Polling Company
FL,45,46,Oct 20,Oct 21,Mason-Dixon
FL,49,44,Oct 16,Oct 21,Quinnipiac U.
FL,48,49,Oct 19,Oct 19,Rasmussen
FL,47,49,Oct 16,Oct 17,SurveyUSA
FL,51,46,Oct 11,Oct 14,Opinion Research
FL,47,42,Oct 12,Oct 13,Datamar
FL,48,44,Oct 13,Oct 13,Insider Advantage
FL,51,46,Oct 12,Oct 12,Rasmussen
FL,50,47,Oct 08,Oct 08,Rasmussen
FL,48,46,Oct 04,Oct 06,Mason-Dixon
FL,52,45,Oct 05,Oct 05,Rasmussen
FL,46,42,Sep 27,Sep 30,Suffolk U.
FL,49,46,Sep 30,Sep 30,Insider Advantage
FL,51,47,Sep 28,Sep 30,Opinion Research
FL,51,43,Sep 27,Sep 29,Quinnipiac U.
FL,47,47,Sep 28,Sep 28,Rasmussen
FL,47,48,Sep 27,Sep 28,SurveyUSA
FL,47,46,Sep 23,Sep 25,ARG
FL,47,48,Sep 24,Sep 24,Rasmussen
FL,46,51,Sep 21,Sep 21,Rasmussen
FL,47,45,Sep 16,Sep 18,Mason-Dixon
FL,45,47,Sep 14,Sep 17,Schroth/Polling Co.
FL,45,51,Sep 16,Sep 17,SurveyUSA
FL,46,46,Sep 14,Sep 17,ARG
FL,48,48,Sep 14,Sep 16,Opinion Research
FL,44,44,Sep 11,Sep 15,Financial Dynamics
FL,44,49,Sep 14,Sep 14,Rasmussen
FL,42,50,Sep 09,Sep 10,Insider Advantage
FL,43,50,Sep 05,Sep 09,Quinnipiac U.
FL,48,48,Sep 07,Sep 07,Rasmussen
FL,45,44,Aug 25,Aug 26,Mason-Dixon
FL,43,47,Aug 17,Aug 24,Quinnipiac U.
FL,46,47,Aug 18,Aug 20,ARG
FL,43,46,Aug 18,Aug 18,Rasmussen
FL,44,48,Aug 11,Aug 11,Insider Advantage
FL,44,50,Aug 01,Aug 03,SurveyUSA
FL,46,44,Jul 23,Jul 29,Quinnipiac U.
FL,46,45,Jul 22,Jul 22,Rasmussen
FL,45,47,Jul 19,Jul 21,ARG
FL,41,48,Jun 26,Jun 26,Rasmussen
FL,39,47,Jun 18,Jun 18,Rasmussen
FL,49,44,Jun 13,Jun 17,ARG
FL,47,43,Jun 09,Jun 16,Quinnipiac U.
FL,41,45,May 13,May 20,Quinnipiac U.
FL,40,50,May 19,May 19,Rasmussen
FL,43,44,Apr 23,Apr 29,Quinnipiac U.
FL,38,53,Apr 10,Apr 10,Rasmussen
FL,37,46,Mar 24,Mar 31,Quinnipiac U.
FL,43,47,Mar 12,Mar 12,Rasmussen
FL,45,47,Feb 26,Feb 28,SurveyUSA
FL,37,53,Feb 16,Feb 16,Rasmussen
GA,47,52,Oct 30,Oct 30,Rasmussen
GA,47,52,Oct 23,Oct 28,Opinion Research
GA,47,48,Oct 27,Oct 27,Insider Advantage
GA,43,49,Oct 22,Oct 23,Mason-Dixon
GA,48,47,Oct 23,Oct 23,Insider Advantage
GA,46,51,Oct 22,Oct 22,Rasmussen
GA,45,53,Oct 11,Oct 14,Opinion Research
GA,43,51,Oct 11,Oct 12,SurveyUSA
GA,46,49,Oct 09,Oct 09,Insider Advantage
GA,45,54,Oct 07,Oct 07,Rasmussen
GA,44,50,Sep 30,Sep 30,Insider Advantage
GA,44,52,Sep 28,Sep 29,SurveyUSA
GA,39,57,Sep 18,Sep 21,ARG
GA,43,51,Sep 17,Sep 17,Insider Advantage
GA,41,57,Sep 14,Sep 16,SurveyUSA
GA,43,54,Sep 16,Sep 16,Rasmussen
GA,38,56,Sep 10,Sep 10,Insider Advantage
GA,43,50,Aug 14,Aug 14,Rasmussen
GA,39,48,Jul 17,Jul 17,Rasmussen
GA,44,46,Jul 02,Jul 02,Insider Advantage
GA,43,53,Jun 26,Jun 26,Rasmussen
GA,43,44,Jun 18,Jun 18,Insider Advantage
GA,41,51,Jun 04,Jun 04,Rasmussen
GA,39,53,May 06,May 06,Rasmussen
GA,40,53,Mar 20,Mar 20,Rasmussen
GA,41,54,Feb 26,Feb 28,SurveyUSA
HI,68,27,Sep 20,Sep 20,Rasmussen
HI,63,32,Sep 07,Sep 12,ARG
HI,61,31,Feb 26,Feb 28,SurveyUSA
ID,25,68,Sep 08,Sep 10,ARG
ID,29,68,Sep 09,Sep 09,Rasmussen
ID,29,52,Aug 18,Aug 22,Greg Smith
ID,39,52,Feb 26,Feb 28,SurveyUSA
IL,60,38,Nov 01,Nov 01,Rasmussen
IL,61,32,Oct 19,Oct 22,U. of Wisconsin
IL,56,32,Oct 16,Oct 18,Market Shares
IL,56,39,Oct 13,Oct 13,Rasmussen
IL,53,37,Sep 14,Sep 17,U. of Wisconsin
IL,56,40,Sep 17,Sep 17,Rasmussen
IL,51,45,Sep 13,Sep 16,ARG
IL,53,38,Aug 12,Aug 12,Rasmussen
IL,50,37,Jul 08,Jul 08,Rasmussen
IL,60,31,Feb 26,Feb 28,SurveyUSA
IN,44,49,Oct 30,Nov 02,Zogby
IN,48,48,Oct 28,Oct 31,ARG
IN,47,47,Oct 27,Oct 30,SurveyUSA
IN,46,49,Oct 28,Oct 29,Rasmussen
IN,46,45,Oct 26,Oct 28,Selzer
IN,44,50,Oct 23,Oct 26,Zogby
IN,45,47,Oct 23,Oct 24,Howey-Gauge
IN,49,45,Oct 21,Oct 22,SurveyUSA
IN,51,41,Oct 19,Oct 22,U. of Wisconsin
IN,43,50,Oct 07,Oct 07,Rasmussen
IN,46,51,Oct 03,Oct 06,Opinion Research
IN,45,48,Sep 28,Sep 29,SurveyUSA
IN,44,47,Sep 15,Sep 18,ARG
IN,47,49,Sep 17,Sep 18,Rasmussen
IN,43,47,Sep 14,Sep 17,U. of Wisconsin
IN,45,51,Sep 14,Sep 16,Opinion Research
IN,47,44,Sep 14,Sep 16,Selzer
IN,43,45,Aug 29,Aug 30,Howey-Gauge
IN,42,46,Aug 19,Aug 21,Rasmussen
IN,44,50,Aug 16,Aug 18,SurveyUSA
IN,48,47,Jun 21,Jun 23,SurveyUSA
IN,38,47,May 27,Jun 01,Ind. Legis. Insight
IN,49,41,Apr 20,Apr 23,Selzer
IN,44,51,Apr 14,Apr 16,IPFW U.
IN,41,50,Feb 26,Feb 28,SurveyUSA
IN,40,50,Feb 03,Feb 04,SurveyUSA
IA,54,37,Oct 28,Oct 31,Selzer
IA,55,40,Oct 28,Oct 29,SurveyUSA
IA,52,42,Oct 23,Oct 24,Marist Coll.
IA,51,40,Oct 22,Oct 23,Mason-Dixon
IA,52,44,Oct 23,Oct 23,Rasmussen
IA,52,39,Oct 19,Oct 22,U. of Wisconsin
IA,54,41,Oct 08,Oct 09,SurveyUSA
IA,51,43,Sep 25,Sep 25,Rasmussen
IA,51,41,Sep 18,Sep 21,Marist Coll.
IA,51,44,Sep 17,Sep 20,ARG
IA,54,43,Sep 17,Sep 18,SurveyUSA
IA,45,45,Sep 14,Sep 17,U. of Wisconsin
IA,52,40,Sep 08,Sep 10,Selzer
IA,55,40,Aug 31,Sep 02,Opinion Research
IA,50,43,Aug 04,Aug 13,U. of Iowa
IA,46,41,Aug 07,Aug 07,Rasmussen
IA,51,41,Jul 10,Jul 10,Rasmussen
IA,49,45,Jun 13,Jun 16,SurveyUSA
IA,45,38,Jun 10,Jun 10,Rasmussen
IA,47,38,May 21,May 22,SurveyUSA
IA,44,42,May 13,May 13,Rasmussen
IA,49,42,Apr 11,Apr 13,SurveyUSA
IA,46,42,Mar 31,Mar 31,Rasmussen
IA,50,44,Mar 14,Mar 16,SurveyUSA
IA,50,41,Feb 26,Feb 28,SurveyUSA
IA,44,41,Feb 18,Feb 18,Rasmussen
IA,51,41,Feb 15,Feb 17,SurveyUSA
KS,37,58,Oct 27,Oct 28,SurveyUSA
KS,41,53,Oct 21,Oct 22,SurveyUSA
KS,41,54,Oct 13,Oct 13,Rasmussen
KS,41,53,Sep 21,Sep 22,SurveyUSA
KS,38,58,Sep 18,Sep 18,Rasmussen
KS,31,63,Sep 07,Sep 10,ARG
KS,35,58,Aug 18,Aug 20,SurveyUSA
KS,37,52,Aug 11,Aug 11,Rasmussen
KS,32,52,Jul 14,Jul 14,Rasmussen
KS,37,47,Jun 11,Jun 11,Rasmussen
KS,39,49,May 16,May 18,SurveyUSA
KS,34,55,May 13,May 13,Rasmussen
KS,37,54,Apr 11,Apr 13,SurveyUSA
KS,39,51,Mar 14,Mar 16,SurveyUSA
KS,41,50,Feb 26,Feb 28,SurveyUSA
KS,44,50,Feb 15,Feb 17,SurveyUSA
KY,40,56,Oct 29,Nov 01,SurveyUSA
KY,42,51,Oct 27,Oct 29,Mason-Dixon
KY,43,55,Oct 29,Oct 29,Rasmussen
KY,44,52,Oct 21,Oct 21,Rasmussen
KY,41,54,Oct 18,Oct 20,SurveyUSA
KY,42,52,Sep 30,Sep 30,Rasmussen
KY,41,53,Sep 22,Sep 25,Mason-Dixon
KY,38,57,Sep 21,Sep 22,SurveyUSA
KY,37,57,Sep 08,Sep 12,ARG
KY,37,55,Aug 09,Aug 11,SurveyUSA
KY,39,49,Jul 20,Jul 29,Rasmussen
KY,39,49,Jul 29,Jul 29,Rasmussen
KY,35,51,Jun 25,Jun 25,Rasmussen
KY,41,53,Jun 13,Jun 16,SurveyUSA
KY,32,56,May 16,May 18,SurveyUSA
KY,29,63,Apr 11,Apr 13,SurveyUSA
KY,28,64,Mar 14,Mar 16,SurveyUSA
KY,33,54,Feb 26,Feb 28,SurveyUSA
KY,32,61,Feb 03,Feb 04,SurveyUSA
LA,40,43,Oct 24,Oct 26,Loyola U.
LA,38,51,Oct 20,Oct 23,Southeastern La. U.
LA,41,57,Oct 21,Oct 21,Rasmussen
LA,40,55,Sep 25,Sep 25,Rasmussen
LA,43,50,Sep 09,Sep 12,ARG
LA,38,55,Aug 17,Aug 17,Rasmussen
LA,37,56,Jul 09,Jul 09,Rasmussen
LA,36,52,Jun 26,Jun 28,Opinion Res.
LA,41,50,May 28,May 28,Rasmussen
LA,35,51,Mar 26,Apr 09,Opinion Res.
LA,41,52,Apr 09,Apr 09,Rasmussen
LA,39,54,Feb 26,Feb 28,SurveyUSA
ME,56,43,Nov 01,Nov 01,Rasmussen
ME,54,39,Oct 19,Oct 20,SurveyUSA
ME,56,35,Oct 16,Oct 19,Critical Insights
ME,51,39,Oct 13,Oct 16,Pan Atlantic SMS
ME,51,46,Oct 02,Oct 02,Rasmussen
ME,49,44,Sep 22,Sep 23,SurveyUSA
ME,50,46,Sep 17,Sep 17,Rasmussen
ME,51,41,Sep 08,Sep 10,ARG
ME,49,36,Aug 12,Aug 12,Rasmussen
ME,46,36,Jul 17,Jul 17,Rasmussen
ME,51,31,Jun 01,Jun 27,Critical Insights
ME,37,26,Jun 10,Jun 18,Pan Atlantic SMS
ME,55,33,Jun 16,Jun 16,Rasmussen
ME,51,38,May 14,May 14,Rasmussen
ME,49,39,Apr 01,Apr 01,Rasmussen
ME,53,39,Feb 26,Feb 28,SurveyUSA
MD,60,37,Sep 20,Sep 20,Rasmussen
MD,54,39,Sep 17,Sep 19,ARG
MD,52,38,Aug 29,Sep 05,Gonzales Research
MD,53,41,Aug 18,Aug 18,Rasmussen
MD,51,37,Feb 23,Mar 01,Gonzales Res.
MD,53,40,Feb 26,Feb 28,SurveyUSA
MA,56,39,Oct 27,Oct 28,SurveyUSA
MA,53,34,Oct 20,Oct 22,Suffolk U.
MA,59,35,Oct 13,Oct 14,SurveyUSA
MA,62,34,Oct 13,Oct 13,Rasmussen
MA,55,39,Sep 22,Sep 23,SurveyUSA
MA,58,38,Sep 23,Sep 23,Rasmussen
MA,55,39,Sep 20,Sep 22,ARG
MA,51,36,Aug 05,Aug 05,Rasmussen
MA,47,38,Jul 31,Aug 03,Suffolk U.
MA,53,33,Jun 30,Jun 30,Rasmussen
MA,53,40,Jun 25,Jun 27,SurveyUSA
MA,53,30,Jun 08,Jun 10,Suffolk U.
MA,51,38,May 29,May 29,Rasmussen
MA,46,41,May 16,May 18,SurveyUSA
MA,51,39,Apr 23,Apr 23,Rasmussen
MA,48,46,Apr 11,Apr 13,SurveyUSA
MA,49,42,Mar 18,Mar 18,Rasmussen
MA,47,47,Mar 14,Mar 16,SurveyUSA
MA,49,42,Feb 26,Feb 28,SurveyUSA
MA,48,46,Feb 15,Feb 17,SurveyUSA
MI,53,37,Oct 28,Oct 31,Selzer
MI,50,38,Oct 26,Oct 28,EPIC-MRA
MI,53,43,Oct 28,Oct 28,Rasmussen
MI,51,37,Oct 19,Oct 22,EPIC-MRA
MI,58,36,Oct 19,Oct 22,U. of Wisconsin
MI,54,38,Oct 08,Oct 12,Quinnipiac U.
MI,56,40,Oct 08,Oct 08,Rasmussen
MI,51,38,Sep 22,Sep 24,Selzer
MI,46,46,Sep 18,Sep 23,Mason-Dixon
MI,51,46,Sep 21,Sep 23,Opinion Research
MI,47,39,Sep 18,Sep 22,Financial Dynamics
MI,48,38,Sep 20,Sep 22,EPIC-MRA
MI,48,44,Sep 14,Sep 21,Quinnipiac U.
MI,51,44,Sep 21,Sep 21,Rasmussen
MI,43,46,Sep 15,Sep 19,Marketing Resource Grp.
MI,48,46,Sep 16,Sep 19,ARG
MI,43,42,Sep 14,Sep 17,EPIC-MRA
MI,48,44,Sep 14,Sep 17,U. of Wisconsin
MI,52,43,Sep 16,Sep 17,Marist Coll.
MI,44,45,Sep 09,Sep 10,Insider Advantage
MI,51,46,Sep 10,Sep 10,Rasmussen
MI,49,45,Sep 07,Sep 09,Opinion Research
MI,43,41,Aug 18,Aug 21,EPIC-MRA
MI,46,39,Aug 17,Aug 20,Selzer
MI,47,40,Aug 07,Aug 07,Rasmussen
MI,46,42,Jul 14,Jul 22,Quinnipiac U.
MI,43,41,Jul 13,Jul 16,EPIC-MRA
MI,50,42,Jul 10,Jul 10,Rasmussen
MI,48,42,Jun 17,Jun 24,Quinnipiac U.
MI,45,42,Jun 09,Jun 09,Rasmussen
MI,37,41,May 27,May 28,SurveyUSA
MI,40,44,May 19,May 22,EPIC-MRA
MI,44,45,May 08,May 08,Rasmussen
MI,44,45,May 07,May 07,Rasmussen
MI,43,41,Apr 03,Apr 08,EPIC-MRA
MI,42,43,Mar 25,Mar 25,Rasmussen
MI,41,44,Mar 10,Mar 10,Rasmussen
MI,46,45,Feb 26,Feb 28,SurveyUSA
MN,49,46,Oct 30,Nov 01,SurveyUSA
MN,53,42,Oct 29,Oct 31,Princeton Survey
MN,48,40,Oct 27,Oct 28,Mason-Dixon
MN,55,43,Oct 28,Oct 28,Rasmussen
MN,56,37,Oct 24,Oct 28,U. of Minnesota
MN,42,37,Oct 14,Oct 22,St. Cloud State U.
MN,56,41,Oct 22,Oct 22,Rasmussen
MN,57,38,Oct 19,Oct 22,U. of Wisconsin
MN,50,40,Oct 16,Oct 20,Financial Dynamics
MN,50,44,Oct 16,Oct 18,SurveyUSA
MN,52,41,Oct 16,Oct 17,Princeton Survey
MN,52,41,Oct 16,Oct 17,Star Tribune
MN,51,40,Oct 08,Oct 12,Quinnipiac U.
MN,47,46,Oct 04,Oct 07,ARG
MN,49,47,Oct 06,Oct 07,SurveyUSA
MN,52,45,Oct 07,Oct 07,Rasmussen
MN,54,40,Oct 03,Oct 05,U. of Minnesota
MN,55,37,Sep 30,Oct 02,Princeton Survey
MN,46,47,Sep 30,Oct 01,SurveyUSA
MN,54,43,Sep 28,Sep 30,Opinion Research
MN,47,45,Sep 14,Sep 21,Quinnipiac U.
MN,48,47,Sep 18,Sep 20,ARG
MN,52,44,Sep 18,Sep 18,Rasmussen
MN,47,45,Sep 14,Sep 17,U. of Wisconsin
MN,45,45,Sep 10,Sep 12,Princeton Survey
MN,49,47,Sep 10,Sep 11,SurveyUSA
MN,53,41,Aug 31,Sep 02,Opinion Research
MN,48,38,Aug 07,Aug 17,U. of Minnesota
MN,47,45,Aug 13,Aug 14,SurveyUSA
MN,46,42,Aug 13,Aug 13,Rasmussen
MN,46,44,Jul 14,Jul 22,Quinnipiac U.
MN,49,37,Jul 22,Jul 22,Rasmussen
MN,52,34,Jul 10,Jul 10,Rasmussen
MN,54,37,Jun 17,Jun 24,Quinnipiac U.
MN,47,46,Jun 13,Jun 16,SurveyUSA
MN,52,39,Jun 11,Jun 11,Rasmussen
MN,53,38,May 22,May 22,Rasmussen
MN,47,42,May 16,May 18,SurveyUSA
MN,51,38,May 12,May 15,Star Tribune
MN,52,38,Apr 22,Apr 22,Rasmussen
MN,49,43,Apr 11,Apr 13,SurveyUSA
MN,47,43,Mar 19,Mar 19,Rasmussen
MN,46,47,Mar 14,Mar 16,SurveyUSA
MN,49,42,Feb 26,Feb 28,SurveyUSA
MN,55,40,Feb 15,Feb 17,SurveyUSA
MN,53,38,Feb 16,Feb 16,Rasmussen
MS,45,53,Oct 27,Oct 27,Rasmussen
MS,33,46,Oct 13,Oct 23,U. of South Alabama
MS,33,46,Oct 13,Oct 23,USA Polling Group
MS,44,52,Sep 30,Sep 30,Rasmussen
MS,39,55,Sep 13,Sep 16,ARG
MS,41,54,Aug 21,Aug 21,Rasmussen
MS,41,52,Jul 28,Jul 28,Rasmussen
MS,44,50,Jun 24,Jun 24,Rasmussen
MS,44,50,May 27,May 27,Rasmussen
MS,41,54,Feb 26,Feb 28,SurveyUSA
MO,47,46,Oct 30,Nov 02,Zogby
MO,46,47,Oct 29,Oct 30,Mason-Dixon
MO,48,48,Oct 28,Oct 30,ARG
MO,47,50,Oct 29,Oct 29,Insider Advantage
MO,48,50,Oct 23,Oct 28,Opinion Research
MO,48,46,Oct 23,Oct 26,Zogby
MO,48,47,Oct 26,Oct 26,Rasmussen
MO,48,48,Oct 25,Oct 26,SurveyUSA
MO,45,46,Oct 22,Oct 23,Mason-Dixon
MO,44,45,Oct 17,Oct 19,Suffolk U.
MO,49,44,Oct 19,Oct 19,Rasmussen
MO,52,46,Oct 15,Oct 15,Rasmussen
MO,48,49,Oct 11,Oct 14,Opinion Research
MO,50,47,Oct 12,Oct 12,Rasmussen
MO,51,43,Oct 11,Oct 12,SurveyUSA
MO,46,49,Oct 04,Oct 06,ARG
MO,50,47,Oct 05,Oct 05,Rasmussen
