State,Kerry,Bush,Date,Pollster
KS,36,56,Jun 30,Survey USA
KS,39,57,Mar 04,Survey USA
KY,38,59,Oct 28,SurveyUSA
KY,39,56,Oct 18,Bluegrass Poll
KY,37,59,Oct 17,SurveyUSA
KY,38,57,Oct 04,SurveyUSA
KY,38,53,Sep 12,Bluegrass Poll
KY,39,57,Sep 09,ARG
KY,39,56,Sep 07,SurveyUSA
KY,39,56,Aug 15,Survey USA
KY,42,52,Jul 26,Survey USA
KY,39,52,Jun 08,Survey USA
LA,32,58,Oct 19,Southeastern La. Univ.
LA,37,52,Oct 17,Market Research
LA,40,48,Oct 16,Univ. of New Orleans
LA,32,50,Oct 12,SMOR
LA,36,51,Oct 05,Marketing Research
LA,42,50,Sep 18,ARG
LA,36,52,Jul 20,Market Research
LA,42,48,May 26,Market Research
LA,29,48,May 25,Market Research
LA,29,48,May 25,Multi-Quest
LA,38,52,Mar 29,Harris Deville
ME,52,44,Oct 28,SurveyUSA
ME,50,39,Oct 20,Zogby
ME,51,45,Oct 17,SurveyUSA
ME,49,47,Oct 03,SurveyUSA
ME,46,47,Sep 20,SurveyUSA
ME,45,42,Sep 16,Critical Insights
ME,43,43,Sep 08,Zogby
ME,48,44,Sep 08,ARG
ME,49,44,Aug 24,Survey USA
ME,48,44,Jul 31,Rasmussen
ME,46,45,Jun 30,Rasmussen
ME,54,35,May 31,Rasmussen
ME,49,39,May 20,Critical Insight
ME,51,38,Mar 03,Other
MD,54,43,Oct 27,SurveyUSA
MD,56,39,Oct 25,Ipsos
MD,56,41,Oct 05,SurveyUSA
MD,52,42,Oct 02,Gonzales Res.
MD,48,48,Sep 17,SurveyUSA
MD,52,43,Sep 07,ARG
MD,53,42,Aug 25,Survey USA
MD,53,40,Aug 15,Gonzales Res.
MD,53,39,Jun 30,Rasmussen
MD,52,38,Jun 09,Gonzales Res.
MD,48,43,Mar 24,Gonzales Res.
MA,50,36,Sep 30,Merrimack Coll.
MA,64,27,Sep 11,ARG
MA,56,30,Jul 28,Center for Public Opin.
MA,59,30,Jul 18,Suffolk University
MA,60,31,Jun 30,Rasmussen
MA,54,30,May 06,Univ. of Mass.
MI,52,46,Oct 30,Zogby
MI,50,47,Oct 28,SurveyUSA
MI,47,45,Oct 27,Mason-Dixon
MI,43,41,Oct 26,Mitchell Research
MI,49,44,Oct 24,Zogby
MI,45,44,Oct 22,Mitchell Research
MI,42,47,Oct 19,Mitchell Research
MI,49,43,Oct 19,EPIC-MRA
MI,43,47,Oct 18,Mitchell Research
MI,51,44,Oct 18,SurveyUSA
MI,47,46,Oct 16,Mason-Dixon
MI,53,46,Oct 15,Zogby
MI,49,45,Oct 12,Rasmussen
MI,47,45,Oct 10,Rasmussen
MI,52,42,Oct 04,SurveyUSA
MI,54,44,Oct 02,Zogby
MI,47,47,Sep 30,Rasmussen
MI,48,46,Sep 24,Detroit Free Press
MI,45,43,Sep 21,Marketing Resource Grp.
MI,46,44,Sep 21,Opinion Dynamics
MI,49,44,Sep 19,Rasmussen
MI,48,40,Sep 18,ARG
MI,48,44,Sep 16,EPIC-MRA
MI,47,41,Sep 14,Mason-Dixon
MI,48,46,Sep 12,Rasmussen
MI,50,44,Sep 11,Gallup
MI,50,45,Sep 07,Rasmussen
MI,48,45,Sep 05,Rasmussen
MI,48,45,Aug 24,Survey USA
MI,51,45,Aug 21,Zogby
MI,48,45,Aug 19,ARG
MI,49,42,Aug 10,EPIC/MRA
MI,52,41,Aug 04,Survey USA
MI,52,45,Jul 30,Zogby
MI,53,44,Jul 23,Zogby
MI,50,44,Jul 10,Zogby
MI,49,44,Jul 08,American Res&EPIC
MI,47,43,Jun 30,SurveyUSA&Mitchell
MI,51,41,Jun 30,Survey USA
MI,40,42,Jun 23,Fox/Opinion Dyn.
MI,46,47,Jun 20,Zogby
MI,42,44,Jun 08,LA Times
MI,45,43,Jun 06,EPIC/MRA
MI,47,43,Jun 02,Survey USA
MI,50,41,May 23,Zogby
MN,51,45,Oct 30,Zogby
MN,51,43,Oct 29,Gallup
MN,51,43,Oct 28,Gallup
MN,47,48,Oct 27,Mason-Dixon
MN,49,41,Oct 27,Star-Tribune
MN,46,44,Oct 24,Zogby
MN,44,47,Oct 23,Univ. of Minnesota
MN,46,42,Oct 21,St. Cloud State Univ.
MN,45,47,Oct 16,Mason-Dixon
MN,54,43,Oct 15,Zogby
MN,47,47,Oct 12,Rasmussen
MN,49,45,Oct 10,Rasmussen
MN,45,43,Oct 09,Market Shares
MN,48,43,Oct 09,Star Tribune
MN,52,44,Oct 02,Zogby
MN,48,45,Sep 30,Rasmussen
MN,46,46,Sep 19,Rasmussen
MN,46,46,Sep 18,Rasmussen
MN,52,42,Sep 14,Zogby
MN,45,45,Sep 12,Gallup
MN,45,46,Sep 12,Mason-Dixon
MN,47,45,Sep 10,ARG
MN,50,41,Sep 09,Market Solutions
MN,50,45,Aug 21,Zogby
MN,52,44,Jul 30,Zogby
MN,46,44,Jul 14,Mason-Dixon
MN,47,44,Jul 12,Hubert Humphrey Inst
MN,49,44,Jul 10,Zogby
MN,50,45,Jun 20,Zogby
MN,51,44,Jun 06,Zogby
MN,44,41,May 26,Zogby
MN,51,42,May 23,Zogby
MS,42,51,Sep 15,ARG
MO,47,52,Oct 29,Survey
MO,44,49,Oct 27,Mason-Dixon
MO,45,49,Oct 23,Market Research
MO,45,52,Oct 23,SurveyUSA
MO,45,51,Oct 16,SurveyUSA
MO,48,51,Oct 15,Zogby
MO,44,49,Oct 14,Mason-Dixon
MO,47,49,Oct 02,SurveyUSA
MO,48,50,Oct 02,Zogby
MO,44,50,Sep 17,ARG
MO,41,48,Sep 14,Mason-Dixon
MO,46,51,Sep 14,Zogby
MO,46,48,Sep 07,SurveyUSA
MO,41,55,Sep 04,Gallup
MO,44,46,Aug 24,LA Times
MO,49,49,Aug 21,Zogby
MO,47,48,Aug 17,Survey USA
MO,49,48,Jul 30,Zogby
MO,49,48,Jul 23,Zogby
MO,46,44,Jul 20,Market Research Inst.
MO,50,47,Jul 10,Zogby
MO,46,48,Jul 08,Survey USA
MO,44,48,Jun 30,Rasmussen
MO,48,49,Jun 20,Zogby
MO,37,48,Jun 08,LA Times
MO,47,44,May 23,Zogby
MT,36,57,Oct 18,Mason-Dixon
MT,34,55,Oct 08,Montana State Univ.
MT,36,54,Sep 20,Mason-Dixon
MT,32,60,Sep 07,ARG
MT,33,53,May 26,Mason-Dixon
NE,32,61,Oct 17,RKM Research
NE,30,61,Sep 10,ARG
NV,45,53,Oct 31,SurveyUSA
NV,45,50,Oct 30,Zogby
NV,49,49,Oct 28,SurveyUSA
NV,44,50,Oct 27,Mason-Dixon
NV,46,49,Oct 24,Zogby
NV,41,45,Oct 17,Belden Russenello
NV,45,52,Oct 16,SurveyUSA
NV,46,50,Oct 15,Zogby
NV,42,52,Oct 14,Mason-Dixon
NV,48,47,Oct 02,Zogby
NV,46,50,Oct 01,SurveyUSA
NV,44,48,Sep 23,Belden Russenello
NV,46,48,Sep 19,Gallup
NV,47,49,Sep 14,Zogby
NV,45,47,Sep 13,Rasmussen
NV,45,50,Sep 13,Mason-Dixon
NV,45,47,Sep 12,ARG
NV,47,51,Sep 11,SurveyUSA
NV,48,46,Aug 21,Zogby
NV,46,47,Aug 16,Rasmussen
NV,46,49,Aug 16,Survey USA
NV,45,46,Jul 30,Zogby
NV,47,46,Jul 23,Zogby
NV,49,45,Jul 22,Survey USA
NV,43,45,Jul 10,Zogby
NV,47,44,Jun 23,Zogby
NV,45,47,Jun 20,Zogby
NV,47,44,Jun 06,Zogby
NV,47,44,May 23,Zogby
NH,48,49,Oct 31,ARG
NH,49,48,Oct 29,Univ. of New Hampshire
NH,47,47,Oct 28,ARG
NH,47,46,Oct 27,Mason-Dixon
NH,50,46,Oct 26,Univ. of New Hampshire
NH,50,43,Oct 25,Franklin Pierce Coll.
NH,50,41,Oct 19,Franklin Pierce Coll.
NH,46,47,Oct 16,ARG
NH,46,41,Oct 15,Suffolk Univ.
NH,51,46,Oct 15,Zogby
NH,45,48,Oct 14,Mason-Dixon
NH,47,47,Oct 03,American Research Group
NH,47,47,Oct 03,ARG
NH,49,43,Oct 03,Franklin Pierce Coll.
NH,51,44,Oct 02,Zogby
NH,49,43,Oct 01,Becker Institute
NH,45,47,Sep 15,ARG
NH,48,45,Sep 14,Zogby
NH,40,49,Sep 13,Mason-Dixon
NH,51,43,Aug 21,Zogby
NH,49,42,Aug 05,ARG
NH,51,42,Jul 30,Zogby
NH,47,42,Jul 23,Zogby
NH,47,45,Jul 21,ARG
NH,47,43,Jul 20,Univ. of New Hampsh.
NH,49,40,Jul 10,Zogby
NH,46,43,Jun 20,Zogby
NH,46,46,Jun 09,ARG
NH,50,40,May 23,Zogby
NJ,48,43,Oct 28,Quinnipiac Univ
NJ,45,41,Oct 27,Eagleton-Rutgers
NJ,54,42,Oct 27,SurveyUSA
NJ,47,40,Oct 24,Fairleigh Dickinson Univ.
NJ,45,41,Oct 22,Quinnipiac Univ.
NJ,49,41,Oct 16,Fairleigh-Dickinson Univ.
NJ,41,43,Oct 15,Eagleton-Rutgers
NJ,49,45,Oct 15,Quinnipiac Univ.
NJ,51,38,Oct 15,Eagleton-Rutgers
NJ,44,42,Oct 10,Fairleigh Dickinson Univ.
NJ,48,43,Oct 09,Fairleigh Dickinson Univ.
NJ,47,40,Oct 03,Eagleton-Rutgers
NJ,49,41,Oct 03,Fairleigh Dickinson Univ.
NJ,49,46,Oct 02,Quinnipiac
NJ,50,45,Oct 01,SurveyUSA
NJ,50,46,Sep 30,Rasmussen
NJ,45,44,Sep 25,Fairleigh Dickinson
NJ,47,43,Sep 17,Quinnipiac Univ.
NJ,50,42,Sep 14,ARG
NJ,45,49,Sep 12,SurveyUSA
NJ,43,39,Sep 04,Eagleton-Rutgers
NJ,49,39,Aug 23,Quinnipiac Univ.
NJ,53,33,Aug 04,Eagleton-Rutgers
NJ,49,36,Aug 02,Quinnipiac Univ.
NJ,42,41,Jul 26,Fairleigh Dickinson U.
NJ,51,41,Jun 30,Rasmussen
NJ,46,40,Jun 20,Quinnipiac Univ.
NJ,46,43,May 16,Quinnipiac Univ.
NM,51,48,Oct 30,Zogby
NM,48,47,Oct 28,ARG
NM,44,47,Oct 27,Research and Polling
NM,45,49,Oct 27,Mason-Dixon
NM,43,48,Oct 24,Zogby
NM,44,49,Oct 16,Mason-Dixon
NM,48,46,Oct 16,ARG
NM,54,44,Oct 15,Zogby
NM,46,47,Oct 04,Gallup
NM,46,43,Oct 02,Research and Polling
NM,54,43,Oct 02,Zogby
NM,43,47,Sep 15,Mason-Dixon
NM,49,44,Sep 14,ARG
NM,54,42,Sep 14,Zogby
NM,50,44,Aug 21,Zogby
NM,49,42,Aug 19,ARG
NM,46,46,Aug 15,Rasmussen
NM,50,43,Aug 04,Rasmussen
NM,49,48,Jul 30,Zogby
NM,52,42,Jul 23,Zogby
NM,49,42,Jul 10,Zogby
NM,49,42,Jul 08,American Research
NM,50,43,Jun 20,Zogby
NM,47,48,Jun 06,Zogby
NM,48,43,May 23,Zogby
NY,52,37,Oct 26,Siena Coll.
NY,57,39,Oct 26,SurveyUSA
NY,54,38,Oct 25,Marist Coll.
NY,58,35,Oct 09,SurveyUSA
NY,51,31,Sep 21,Siena College
NY,55,39,Sep 18,SurveyUSA
NY,49,44,Sep 14,Rasmussen
NY,52,40,Sep 14,ARG
NY,48,40,Sep 13,Marist College
NY,47,41,Sep 09,Quinnipiac Univ.
NY,56,37,Aug 26,Rasmussen
NY,53,35,Aug 09,Quinnipiac Univ.
NY,51,29,Jul 15,Siena Coll. Res. Inst.
NY,58,30,Jun 30,Rasmussen
NY,55,36,Jun 14,Quinnipiac Univ.
NY,57,34,May 31,Rasmussen
NY,51,32,Apr 22,Siena Coll. Res. Inst.
NC,45,53,Oct 29,SurveyUSA
NC,43,52,Oct 25,Mason-Dixon
NC,44,54,Oct 22,SurveyUSA
NC,43,51,Oct 18,Mason-Dixon
NC,47,50,Oct 15,SurveyUSA
NC,47,51,Oct 15,Zogby
NC,45,52,Oct 02,SurveyUSA
NC,47,50,Oct 02,Zogby
NC,43,52,Sep 26,Mason-Dixon
NC,44,49,Sep 14,ARG
NC,47,52,Sep 14,Zogby
NC,42,54,Sep 12,Rasmussen
NC,41,54,Sep 10,Rasmussen
NC,43,53,Sep 09,Rasmussen
NC,43,53,Sep 08,Rasmussen
NC,44,53,Sep 06,Rasmussen
NC,46,50,Sep 06,SurveyUSA
NC,42,55,Sep 05,Rasmussen
NC,45,51,Aug 15,Survey USA
NC,44,51,Jul 26,Survey USA
NC,45,48,Jul 13,Mason-Dixon
NC,41,56,Jul 11,Gallup
NC,42,49,Jun 30,Rasmussen
NC,41,48,May 17,Mason-Dixon
ND,35,55,Oct 18,MN State Univ.
ND,33,62,Sep 08,ARG
OH,43,49,Oct 30,Zogby
OH,47,50,Oct 30,Opinion Dynamics
OH,47,49,Oct 29,SurveyUSA
OH,51,44,Oct 29,Gallup
OH,49,50,Oct 28,Univ. of Cincinnati
OH,45,48,Oct 26,Mason-Dixon
OH,44,46,Oct 24,Zogby
OH,50,50,Oct 24,Columbus Dispatch
OH,49,45,Oct 23,LA Times
OH,49,47,Oct 23,ARG
OH,50,47,Oct 23,SurveyUSA
OH,49,43,Oct 18,Ohio Univ.
OH,50,44,Oct 18,Gallup
OH,45,47,Oct 17,Opinion Dynamics
OH,49,47,Oct 16,SurveyUSA
OH,48,51,Oct 15,Zogby
OH,50,47,Oct 15,ABC News
OH,45,46,Oct 14,Mason-Dixon
OH,48,46,Oct 13,Univ. of Cincinnati
OH,47,49,Oct 12,Rasmussen
OH,46,49,Oct 10,Rasmussen
OH,49,45,Oct 09,Market Shares
OH,48,47,Oct 04,ARG
OH,49,48,Oct 02,SurveyUSA
OH,49,49,Oct 02,Zogby
OH,46,48,Sep 30,Rasmussen
OH,49,46,Sep 26,Gallup
OH,44,48,Sep 21,Opinion Dynamics
OH,45,48,Sep 19,Rasmussen
OH,46,48,Sep 18,ARG
OH,42,49,Sep 14,Mason-Dixon
OH,43,54,Sep 14,Univ. of Cincinnati
OH,47,50,Sep 14,Zogby
OH,42,50,Sep 11,Mason-Dixon
OH,47,50,Sep 06,SurveyUSA
OH,43,52,Sep 05,Gallup
OH,44,49,Aug 24,LA Times
OH,46,51,Aug 21,Zogby
OH,47,48,Aug 17,U. Cinci & Strat. Vision
OH,48,46,Aug 17,Univ. of Cincinnati
OH,47,45,Aug 15,Gallup
OH,48,45,Aug 11,ARG
OH,46,51,Jul 30,Zogby
OH,44,47,Jul 23,Columbus Dispatch
OH,47,48,Jul 23,Zogby
OH,47,45,Jul 22,ARG
OH,49,48,Jul 10,Zogby
OH,44,48,Jun 30,Rasmussen
OH,45,44,Jun 23,American Res.&Fox
OH,49,43,Jun 23,ARG
OH,45,51,Jun 20,Zogby
OH,45,42,Jun 08,LA Times
OH,44,46,May 31,Rasmussen
OH,41,47,May 25,LA Times
OH,49,45,May 23,Zogby
OK,34,64,Oct 28,SurveyUSA
OK,34,64,Oct 18,SurveyUSA
OK,30,64,Oct 10,Cole Hargrave
OK,33,63,Oct 04,SurveyUSA
OK,33,64,Sep 20,SurveyUSA
OK,38,55,Sep 17,ARG
OK,38,57,Aug 18,Survey USA
OK,36,56,Jul 29,Basswood Research
OK,35,59,Jul 12,Consumer Logic
OK,31,63,Jun 30,Rasmussen
OK,34,53,May 19,Wilson Research
OR,50,44,Oct 27,Mason-Dixon
OR,49,43,Oct 25,Davis Hibbitts
OR,50,46,Oct 25,ARG
OR,50,47,Oct 25,SurveyUSA
OR,47,46,Oct 16,Mason-Dixon
OR,52,45,Oct 16,Gallup
OR,56,43,Oct 15,Zogby
OR,52,45,Oct 12,Rasmussen
OR,43,48,Oct 10,Riley Research
OR,49,44,Oct 10,ARG
OR,53,44,Oct 09,SurveyUSA
OR,54,44,Oct 02,Zogby
OR,47,45,Sep 25,Davis Hibbits
OR,47,48,Sep 19,SurveyUSA
OR,43,47,Sep 14,Mason-Dixon
OR,54,42,Sep 14,Zogby
OR,47,45,Sep 11,ARG
OR,53,43,Sep 01,Zogby
OR,54,43,Aug 21,Zogby
OR,50,46,Jul 30,Zogby
OR,52,43,Jul 23,Zogby
OR,50,42,Jul 22,ARG
OR,52,42,Jul 10,Zogby
OR,51,44,Jun 20,Zogby
OR,44,39,Jun 01,Moore Information
OR,50,44,May 23,Zogby
PA,49,48,Nov 00,SurveyUSA
PA,50,46,Oct 30,Zogby
PA,47,47,Oct 29,Quinnipiac Univ.
PA,49,47,Oct 29,Gallup
PA,48,46,Oct 27,Mason-Dixon
PA,50,45,Oct 25,West Chester Univ.
PA,48,47,Oct 24,Temple Univ.
PA,49,45,Oct 24,Zogby
PA,49,46,Oct 24,Gallup
PA,45,44,Oct 23,Quinnipiac Univ.
PA,48,45,Oct 23,LA Times
PA,50,47,Oct 23,ARG
PA,53,45,Oct 23,SurveyUSA
PA,49,44,Oct 20,Keystone Poll
PA,48,46,Oct 19,Muhlenberg Coll.
PA,47,41,Oct 17,Quinnipiac
PA,46,45,Oct 16,Mason-Dixon
PA,51,45,Oct 15,SurveyUSA
PA,52,46,Oct 15,Zogby
PA,49,45,Oct 12,Rasmussen
PA,48,45,Oct 10,Rasmussen
PA,46,43,Oct 09,Quinnipiac Univ.
PA,48,46,Oct 04,ARG
PA,49,47,Oct 03,SurveyUSA
PA,50,43,Oct 02,West Chester Univ.
PA,52,46,Oct 02,Zogby
PA,48,41,Oct 01,Franklin and Marshall Coll.
PA,47,48,Sep 30,Rasmussen
PA,45,44,Sep 27,Mason-Dixon
PA,46,48,Sep 26,Gallup
PA,46,42,Sep 23,Quinnipiac Univ.
PA,48,45,Sep 21,Opinion Dynamics
PA,49,47,Sep 20,Temple Univ.
